Year,Month,Season,Precipitation
1987,2,1,47.1
1987,3,1,55.9
1987,4,1,5.4
1987,5,0,0.4
1987,6,0,0
1987,7,0,0
1987,8,0,0
1987,9,1,54
1987,10,1,23.6
1987,11,1,98.5
1987,12,1,185.5
1988,1,1,143.3
1988,2,1,261
1988,3,1,92.3
1988,4,1,1.1
1988,5,0,0
1988,6,0,0
1988,7,0,0
1988,8,0,7.3
1988,9,1,0
1988,10,1,97.8
1988,11,1,35.1
1988,12,1,356.5
1989,1,1,269.5
1989,2,1,194.3
1989,3,1,26.2
1989,4,1,5.3
1989,5,0,0
1989,6,0,0
1989,7,0,0
1989,8,0,0
1989,9,1,23.2
1989,10,1,41.1
1989,11,1,58.9
1989,12,1,222.2
1990,1,1,199.5
1990,2,1,41
1990,3,1,120.3
1990,4,1,21.1
1990,5,0,0
1990,6,0,0
1990,7,0,0
1990,8,0,0
1990,9,1,24.3
1990,10,1,15.6
1990,11,1,71.4
1990,12,1,106.7
