Year,Month,Season,Precipitation
1972,11,1,130.2
1972,12,1,162.8
1973,1,1,99
1973,2,1,116
1973,3,1,45.1
1973,4,1,4.3
1973,5,0,0
1973,6,0,0
1973,7,0,0
1973,8,0,0
1973,9,1,7.7
1973,10,1,88.7
1973,11,1,217.7
1973,12,1,148.1
1974,1,1,214.8
1974,2,1,169.1
1974,3,1,72.1
1974,4,1,23.1
1974,5,0,0
1974,6,0,0
1974,7,0,0
1974,8,0,0
1974,9,1,0
1974,10,1,26.3
1974,11,1,212.7
1974,12,1,375.5
1975,1,1,270.8
1975,2,1,248.6
1975,3,1,155.5
1975,4,1,19.3
1975,5,0,0
1975,6,0,0
1975,7,0,0
1975,8,0,0
1975,9,1,7.8
1975,10,1,62
1975,11,1,215.2
1975,12,1,270.5
1976,1,1,311.1
1976,2,1,229.6
1976,3,1,200.2
1976,4,1,73.6
1976,5,0,0
1976,6,0,0
1976,7,0,0
1976,8,0,0
1976,9,1,54.5
1976,10,1,93.4
1976,11,1,181.2
1976,12,1,311.1
1977,1,1,361.3
1977,2,1,288.9
1977,3,1,109.3
1977,4,1,0
1977,5,0,0
1977,6,0,0
1977,7,0,0
1977,8,0,0
1977,9,1,11.6
1977,10,1,36.6
1977,11,1,332.5
1977,12,1,295.3
1978,1,1,226.9
1978,2,1,195.2
1978,3,1,218.7
1978,4,1,82.4
1978,5,0,0
1978,6,0,0
1978,7,0,0
1978,8,0,0
1978,9,1,0
1978,10,1,170.3
1978,11,1,230.1
1978,12,1,262.1
1979,1,1,254.9
1979,2,1,229.7
1979,3,1,165.3
1979,4,1,0.3
1979,5,0,0
1979,6,0,0
1979,7,0,0
1979,8,0,0
1979,9,1,16.7
1979,10,1,81.6
1979,11,1,339.6
1979,12,1,130.2
1980,1,1,260.6
1980,2,1,240.3
1980,3,1,122
1980,4,1,20.4
1980,5,0,0
1980,6,0,0
1980,7,0,0
1980,8,0,0
1980,9,1,2.5
1980,10,1,119.7
1980,11,1,126.1
1980,12,1,349.2
1981,1,1,175
1981,2,1,281.6
1981,3,1,71.9
1981,4,1,16
1981,5,0,0
1981,6,0,0
1981,7,0,0
1981,8,0,0
1981,9,1,7.8
1981,10,1,30
1981,11,1,98.9
1981,12,1,139.4
1982,1,1,235.5
1982,2,1,143.3
1982,3,1,47.4
1982,4,1,6.9
1982,5,0,0
1982,6,0,0
1982,7,0,0
1982,8,0,1
1982,9,1,70.9
1982,10,1,139.8
1982,11,1,258.6
1982,12,1,130.1
1983,1,1,157.4
1983,2,1,81.8
1983,3,1,34.7
1983,4,1,13.2
1983,5,0,0
1983,6,0,0
1983,7,0,0
1983,8,0,0
1983,9,1,0
1983,10,1,115.6
1983,11,1,174
1983,12,1,232.8
1984,1,1,85.4
1984,2,1,169.6
1984,3,1,86.4
1984,4,1,0
1984,5,0,0
1984,6,0,0
1984,7,0,0
1984,8,0,0
1984,9,1,38
1984,10,1,116.6
1984,11,1,189.8
1984,12,1,194.8
1985,1,1,302.9
1985,2,1,66.6
1985,3,1,207.5
1985,4,1,0
1985,5,0,0
1985,6,0,0
1985,7,0,0
1985,8,0,7
1985,9,1,0
1985,10,1,121.7
1985,11,1,139.7
1985,12,1,277.1
1986,1,1,302
1986,2,1,148.2
1986,3,1,83.5
1986,4,1,108.9
1986,5,0,0
1986,6,0,0
1986,7,0,0
1986,8,0,0
1986,9,1,25.2
1986,10,1,189.4
1986,11,1,163.6
1986,12,1,126.1
1987,1,1,250.3
1987,2,1,138.4
1987,3,1,51.8
1987,4,1,4
1987,5,0,1.5
1987,6,0,0
1987,7,0,0
1987,8,0,0
1987,9,1,25.7
1987,10,1,23.2
1987,11,1,249.5
1987,12,1,268.4
1988,1,1,216
1988,2,1,286.9
1988,3,1,182.5
1988,4,1,1
1988,5,0,6
1988,6,0,0
1988,7,0,0
1988,8,0,0
1988,9,1,0
1988,10,1,126.2
1988,11,1,150.7
1988,12,1,200.7
1989,1,1,350.7
1989,2,1,112.2
1989,3,1,179.3
1989,4,1,0
1989,5,0,0
1989,6,0,0
1989,7,0,0
1989,8,0,0
1989,9,1,5.5
1989,10,1,73.5
1989,11,1,110
1989,12,1,227.9
1990,1,1,250.8
1990,2,1,96.4
1990,3,1,260.2
1990,4,1,61.2
1990,5,0,0
1990,6,0,0
1990,7,0,0
1990,8,0,0
1990,9,1,62.1
1990,10,1,32.6
1990,11,1,140.2
1990,12,1,255.3
